Name,Value,Timestamp,Step
data_time,0.0680552035000801,139,139
eta_seconds,4270.1973989416,139,139
fast_rcnn/cls_accuracy,0.771484375,139,139
fast_rcnn/false_negative,0.79296875,139,139
fast_rcnn/fg_cls_accuracy,0.1875,139,139
loss_box_reg,0.45197275280952454,139,139
loss_cls,0.779481440782547,139,139
loss_mask,0.37620384991168976,139,139
loss_rpn_cls,0.44531841576099396,139,139
loss_rpn_loc,0.6122621595859528,139,139
lr,0.0006993049999999999,139,139
mask_rcnn/accuracy,0.8383838887117347,139,139
mask_rcnn/false_negative,0.07256252571386665,139,139
mask_rcnn/false_positive,0.3647880777858637,139,139
roi_head/num_bg_samples,384.0,139,139
roi_head/num_fg_samples,128.0,139,139
rpn/num_neg_anchors,128.0,139,139
rpn/num_pos_anchors,128.0,139,139
time,0.4777866205004102,139,139
total_loss,2.6371234357357025,139,139
total_val_loss,4.282339707016945,139,139
val_loss_box_reg,0.4201245903968811,139,139
val_loss_cls,1.6248341798782349,139,139
val_loss_mask,0.5939242541790009,139,139
val_loss_rpn_cls,1.1799961477518082,139,139
val_loss_rpn_loc,0.4634605348110199,139,139
data_time,0.03230477750003047,159,159
eta_seconds,4249.325270155241,159,159
fast_rcnn/cls_accuracy,0.77734375,159,159
fast_rcnn/false_negative,0.83203125,159,159
fast_rcnn/fg_cls_accuracy,0.14564732142857142,159,159
loss_box_reg,0.499351367354393,159,159
loss_cls,0.7200620770454407,159,159
loss_mask,0.3565405160188675,159,159
loss_rpn_cls,0.39632293581962585,159,159
loss_rpn_loc,0.44802774488925934,159,159
lr,0.0007992050000000001,159,159
mask_rcnn/accuracy,0.8315385724602341,159,159
mask_rcnn/false_negative,0.07648797039119239,159,159
mask_rcnn/false_positive,0.3047374394184797,159,159
roi_head/num_bg_samples,384.0,159,159
roi_head/num_fg_samples,128.0,159,159
rpn/num_neg_anchors,128.0,159,159
rpn/num_pos_anchors,128.0,159,159
time,0.4312550630002079,159,159
total_loss,2.4815273135900497,159,159
total_val_loss,4.282339707016945,159,159
val_loss_box_reg,0.4201245903968811,159,159
val_loss_cls,1.6248341798782349,159,159
val_loss_mask,0.5939242541790009,159,159
val_loss_rpn_cls,1.1799961477518082,159,159
val_loss_rpn_loc,0.4634605348110199,159,159
data_time,0.0330749155009471,179,179
eta_seconds,4221.473974973451,179,179
fast_rcnn/cls_accuracy,0.779296875,179,179
fast_rcnn/false_negative,0.76953125,179,179
fast_rcnn/fg_cls_accuracy,0.20703125,179,179
loss_box_reg,0.5067789554595947,179,179
loss_cls,0.7336730659008026,179,179
loss_mask,0.3428604006767273,179,179
loss_rpn_cls,0.3304864466190338,179,179
loss_rpn_loc,0.5403590202331543,179,179
lr,0.0008991049999999999,179,179
mask_rcnn/accuracy,0.8613630022321428,179,179
mask_rcnn/false_negative,0.06898858155724018,179,179
mask_rcnn/false_positive,0.3002935233725811,179,179
roi_head/num_bg_samples,384.0,179,179
roi_head/num_fg_samples,128.0,179,179
rpn/num_neg_anchors,128.0,179,179
rpn/num_pos_anchors,128.0,179,179
time,0.4079290760000731,179,179
total_loss,2.434547394514084,179,179
total_val_loss,4.282339707016945,179,179
val_loss_box_reg,0.4201245903968811,179,179
val_loss_cls,1.6248341798782349,179,179
val_loss_mask,0.5939242541790009,179,179
val_loss_rpn_cls,1.1799961477518082,179,179
val_loss_rpn_loc,0.4634605348110199,179,179
data_time,0.06269935249929404,199,199
eta_seconds,4232.05159019526,199,199
fast_rcnn/cls_accuracy,0.798828125,199,199
fast_rcnn/false_negative,0.77734375,199,199
fast_rcnn/fg_cls_accuracy,0.203125,199,199
loss_box_reg,0.4052284508943558,199,199
loss_cls,0.6987211406230927,199,199
loss_mask,0.32336221635341644,199,199
loss_rpn_cls,0.39852602779865265,199,199
loss_rpn_loc,0.5452043414115906,199,199
lr,0.000999005,199,199
mask_rcnn/accuracy,0.8675512197066326,199,199
mask_rcnn/false_negative,0.08018935446860036,199,199
mask_rcnn/false_positive,0.31730715317566344,199,199
roi_head/num_bg_samples,384.0,199,199
roi_head/num_fg_samples,128.0,199,199
rpn/num_neg_anchors,128.0,199,199
rpn/num_pos_anchors,128.0,199,199
time,0.4703815359998771,199,199
total_loss,2.396877408027649,199,199
total_val_loss,4.282339707016945,199,199
val_loss_box_reg,0.4201245903968811,199,199
val_loss_cls,1.6248341798782349,199,199
val_loss_mask,0.5939242541790009,199,199
val_loss_rpn_cls,1.1799961477518082,199,199
val_loss_rpn_loc,0.4634605348110199,199,199
data_time,0.06269935249929404,202,202
eta_seconds,4232.05159019526,202,202
fast_rcnn/cls_accuracy,0.798828125,202,202
fast_rcnn/false_negative,0.77734375,202,202
fast_rcnn/fg_cls_accuracy,0.203125,202,202
loss_box_reg,0.4052284508943558,202,202
loss_cls,0.6987211406230927,202,202
loss_mask,0.32336221635341644,202,202
loss_rpn_cls,0.39852602779865265,202,202
loss_rpn_loc,0.5452043414115906,202,202
lr,0.000999005,202,202
mask_rcnn/accuracy,0.8675512197066326,202,202
mask_rcnn/false_negative,0.08018935446860036,202,202
mask_rcnn/false_positive,0.31730715317566344,202,202
roi_head/num_bg_samples,384.0,202,202
roi_head/num_fg_samples,128.0,202,202
rpn/num_neg_anchors,128.0,202,202
rpn/num_pos_anchors,128.0,202,202
time,0.4703815359998771,202,202
total_loss,2.396877408027649,202,202
total_val_loss,3.423764169216156,202,202
val_loss_box_reg,0.44088301062583923,202,202
val_loss_cls,0.790806770324707,202,202
val_loss_mask,0.49429041147232056,202,202
val_loss_rpn_cls,0.5732840299606323,202,202
val_loss_rpn_loc,0.6725890040397644,202,202
data_time,0.039954245499757235,219,219
eta_seconds,4217.476172848183,219,219
fast_rcnn/cls_accuracy,0.8095703125,219,219
fast_rcnn/false_negative,0.6875,219,219
fast_rcnn/fg_cls_accuracy,0.27734375,219,219
loss_box_reg,0.4300517141819,219,219
loss_cls,0.6346993148326874,219,219
loss_mask,0.2886565178632736,219,219
loss_rpn_cls,0.3679313361644745,219,219
loss_rpn_loc,0.4562228322029114,219,219
lr,0.0010989049999999998,219,219
mask_rcnn/accuracy,0.8684679926658163,219,219
mask_rcnn/false_negative,0.056047404690009225,219,219
mask_rcnn/false_positive,0.3037735278509272,219,219
roi_head/num_bg_samples,384.0,219,219
roi_head/num_fg_samples,128.0,219,219
rpn/num_neg_anchors,128.0,219,219
rpn/num_pos_anchors,128.0,219,219
time,0.40425849949951953,219,219
total_loss,2.2836057990789413,219,219
total_val_loss,3.423764169216156,219,219
val_loss_box_reg,0.44088301062583923,219,219
val_loss_cls,0.790806770324707,219,219
val_loss_mask,0.49429041147232056,219,219
val_loss_rpn_cls,0.5732840299606323,219,219
val_loss_rpn_loc,0.6725890040397644,219,219
data_time,0.02527510549953149,239,239
eta_seconds,4177.041807201313,239,239
fast_rcnn/cls_accuracy,0.7861328125,239,239
fast_rcnn/false_negative,0.79296875,239,239
fast_rcnn/fg_cls_accuracy,0.19140625,239,239
loss_box_reg,0.500591516494751,239,239
loss_cls,0.7040808498859406,239,239
loss_mask,0.3230072408914566,239,239
loss_rpn_cls,0.3587784767150879,239,239
loss_rpn_loc,0.5397030115127563,239,239
lr,0.001198805,239,239
mask_rcnn/accuracy,0.8540736607142857,239,239
mask_rcnn/false_negative,0.04153803538621533,239,239
mask_rcnn/false_positive,0.36453557561912087,239,239
roi_head/num_bg_samples,384.0,239,239
roi_head/num_fg_samples,128.0,239,239
rpn/num_neg_anchors,128.0,239,239
rpn/num_pos_anchors,128.0,239,239
time,0.39076901899989025,239,239
total_loss,2.458195775747299,239,239
total_val_loss,3.423764169216156,239,239
val_loss_box_reg,0.44088301062583923,239,239
val_loss_cls,0.790806770324707,239,239
val_loss_mask,0.49429041147232056,239,239
val_loss_rpn_cls,0.5732840299606323,239,239
val_loss_rpn_loc,0.6725890040397644,239,239
data_time,0.04029900650039053,259,259
eta_seconds,4175.749070667334,259,259
fast_rcnn/cls_accuracy,0.806640625,259,259
fast_rcnn/false_negative,0.65234375,259,259
fast_rcnn/fg_cls_accuracy,0.3125,259,259
loss_box_reg,0.49738992750644684,259,259
loss_cls,0.6386088132858276,259,259
loss_mask,0.2967042177915573,259,259
loss_rpn_cls,0.3488200604915619,259,259
loss_rpn_loc,0.5453565716743469,259,259
lr,0.0012987049999999998,259,259
mask_rcnn/accuracy,0.8702666613520409,259,259
mask_rcnn/false_negative,0.05647463102601545,259,259
mask_rcnn/false_positive,0.30909208032016927,259,259
roi_head/num_bg_samples,384.0,259,259
roi_head/num_fg_samples,128.0,259,259
rpn/num_neg_anchors,128.0,259,259
rpn/num_pos_anchors,128.0,259,259
time,0.44246564999957627,259,259
total_loss,2.3625877276062965,259,259
total_val_loss,3.423764169216156,259,259
val_loss_box_reg,0.44088301062583923,259,259
val_loss_cls,0.790806770324707,259,259
val_loss_mask,0.49429041147232056,259,259
val_loss_rpn_cls,0.5732840299606323,259,259
val_loss_rpn_loc,0.6725890040397644,259,259
data_time,0.024220041500484513,279,279
eta_seconds,4138.3601929813085,279,279
fast_rcnn/cls_accuracy,0.783203125,279,279
fast_rcnn/false_negative,0.66015625,279,279
fast_rcnn/fg_cls_accuracy,0.28797238372093026,279,279
loss_box_reg,0.4996268153190613,279,279
loss_cls,0.6713995933532715,279,279
loss_mask,0.31354017555713654,279,279
loss_rpn_cls,0.2909314036369324,279,279
loss_rpn_loc,0.4520415663719177,279,279
lr,0.001398605,279,279
mask_rcnn/accuracy,0.8662557796556123,279,279
mask_rcnn/false_negative,0.05925343899105919,279,279
mask_rcnn/false_positive,0.3131459092126899,279,279
roi_head/num_bg_samples,384.0,279,279
roi_head/num_fg_samples,128.0,279,279
rpn/num_neg_anchors,128.0,279,279
rpn/num_pos_anchors,128.0,279,279
time,0.39197209700068925,279,279
total_loss,2.3076632022857666,279,279
total_val_loss,3.423764169216156,279,279
val_loss_box_reg,0.44088301062583923,279,279
val_loss_cls,0.790806770324707,279,279
val_loss_mask,0.49429041147232056,279,279
val_loss_rpn_cls,0.5732840299606323,279,279
val_loss_rpn_loc,0.6725890040397644,279,279
data_time,0.030217062999327027,299,299
eta_seconds,4102.008386246143,299,299
fast_rcnn/cls_accuracy,0.80859375,299,299
fast_rcnn/false_negative,0.596056840551181,299,299
fast_rcnn/fg_cls_accuracy,0.32421875,299,299
loss_box_reg,0.41873490810394287,299,299
loss_cls,0.645715981721878,299,299
loss_mask,0.2814021706581116,299,299
loss_rpn_cls,0.29708684980869293,299,299
loss_rpn_loc,0.5160995423793793,299,299
lr,0.001498505,299,299
mask_rcnn/accuracy,0.8793546715561225,299,299
mask_rcnn/false_negative,0.0573350298143776,299,299
mask_rcnn/false_positive,0.3000698781522335,299,299
roi_head/num_bg_samples,384.0,299,299
roi_head/num_fg_samples,128.0,299,299
rpn/num_neg_anchors,128.0,299,299
rpn/num_pos_anchors,128.0,299,299
time,0.39096587949916284,299,299
total_loss,2.187181755900383,299,299
total_val_loss,3.423764169216156,299,299
val_loss_box_reg,0.44088301062583923,299,299
val_loss_cls,0.790806770324707,299,299
val_loss_mask,0.49429041147232056,299,299
val_loss_rpn_cls,0.5732840299606323,299,299
val_loss_rpn_loc,0.6725890040397644,299,299
data_time,0.030217062999327027,303,303
eta_seconds,4102.008386246143,303,303
fast_rcnn/cls_accuracy,0.80859375,303,303
fast_rcnn/false_negative,0.596056840551181,303,303
fast_rcnn/fg_cls_accuracy,0.32421875,303,303
loss_box_reg,0.41873490810394287,303,303
loss_cls,0.645715981721878,303,303
loss_mask,0.2814021706581116,303,303
loss_rpn_cls,0.29708684980869293,303,303
loss_rpn_loc,0.5160995423793793,303,303
lr,0.001498505,303,303
mask_rcnn/accuracy,0.8793546715561225,303,303
mask_rcnn/false_negative,0.0573350298143776,303,303
mask_rcnn/false_positive,0.3000698781522335,303,303
roi_head/num_bg_samples,384.0,303,303
roi_head/num_fg_samples,128.0,303,303
rpn/num_neg_anchors,128.0,303,303
rpn/num_pos_anchors,128.0,303,303
time,0.39096587949916284,303,303
total_loss,2.187181755900383,303,303
total_val_loss,3.1362734586000443,303,303
val_loss_box_reg,0.43315060436725616,303,303
val_loss_cls,0.7479944229125977,303,303
val_loss_mask,0.4488794356584549,303,303
val_loss_rpn_cls,0.48556073009967804,303,303
val_loss_rpn_loc,0.6157979369163513,303,303
data_time,0.035687520000465156,319,319
eta_seconds,4085.18517132703,319,319
fast_rcnn/cls_accuracy,0.818359375,319,319
fast_rcnn/false_negative,0.6328125,319,319
fast_rcnn/fg_cls_accuracy,0.30859375,319,319
loss_box_reg,0.386595755815506,319,319
loss_cls,0.6162644624710083,319,319
loss_mask,0.2814917415380478,319,319
loss_rpn_cls,0.3186809569597244,319,319
loss_rpn_loc,0.5497682988643646,319,319
lr,0.0015984049999999998,319,319
mask_rcnn/accuracy,0.8739337531887755,319,319
mask_rcnn/false_negative,0.0603889869747167,319,319
mask_rcnn/false_positive,0.2856234355084728,319,319
roi_head/num_bg_samples,384.0,319,319
roi_head/num_fg_samples,128.0,319,319
rpn/num_neg_anchors,128.0,319,319
rpn/num_pos_anchors,128.0,319,319
time,0.38844214900018414,319,319
